"name","city","income","credit_score","loan_amount","years_employed","points","loan_approved","credit_category","employment_level","loan_to_income","debt_burden_category","high_loan"
"Timothy Martin","Barbarastad",94789,391,5661,11,55,FALSE,"Poor","Mid (11-25 yrs)",0.0597221196552343,"Low (<20%)",FALSE
"Julia Andersen","Kathrynmouth",141536,443,9124,36,60,TRUE,"Poor","Senior (26+ yrs)",0.0644641645941669,"Low (<20%)",FALSE
"Jack Mitchell MD","South Michael",72600,621,25489,5,50,FALSE,"Fair","Entry (0-10 yrs)",0.351088154269972,"Moderate (20-40%)",FALSE
"Katie Baker","New Tiffanyton",53834,550,46858,35,35,FALSE,"Poor","Senior (26+ yrs)",0.870416465430769,"High (≥40%)",TRUE
"Samuel Roberts","New Reginald",93904,374,15617,24,50,FALSE,"Poor","Mid (11-25 yrs)",0.166308144487988,"Low (<20%)",FALSE
"Maureen Bailey","Daymouth",57802,411,6624,11,45,FALSE,"Poor","Mid (11-25 yrs)",0.114598110792014,"Low (<20%)",FALSE
"Sylvia Nielsen","Gonzalezmouth",76507,366,21793,21,45,FALSE,"Poor","Mid (11-25 yrs)",0.284849752310246,"Moderate (20-40%)",FALSE
"Katelyn Park DDS","Shawnside",134573,459,31799,9,50,FALSE,"Poor","Entry (0-10 yrs)",0.236295542196429,"Moderate (20-40%)",FALSE
"Erica Johnson","Brownstad",63862,740,32025,13,70,TRUE,"Excellent","Mid (11-25 yrs)",0.501471923835771,"High (≥40%)",FALSE
"Sean Cisneros","Nelsonburgh",74608,385,10288,4,35,FALSE,"Poor","Entry (0-10 yrs)",0.137894059618272,"Low (<20%)",FALSE
"Brad Russo","Savagehaven",66655,519,44885,16,35,FALSE,"Poor","Mid (11-25 yrs)",0.673392843747656,"High (≥40%)",TRUE
"Anthony Jacobson","Petersonport",145385,468,14015,22,60,TRUE,"Poor","Mid (11-25 yrs)",0.0963992158750903,"Low (<20%)",FALSE
"Karen Nichols","Lake Samuel",108139,698,1650,35,85,TRUE,"Good","Senior (26+ yrs)",0.0152581399864989,"Low (<20%)",FALSE
"Linda Miller","West Elizabeth",121905,624,1929,9,70,TRUE,"Fair","Entry (0-10 yrs)",0.0158237972191461,"Low (<20%)",FALSE
"Taylor Porter","Danielchester",145357,569,35124,0,40,FALSE,"Poor","Entry (0-10 yrs)",0.241639549522899,"Moderate (20-40%)",FALSE
"Terri Mathews DDS","North Jefferyborough",66211,730,46642,34,60,TRUE,"Good","Senior (26+ yrs)",0.704444880759995,"High (≥40%)",TRUE
"Lindsay Robinson","East Teresa",102848,314,25265,23,55,FALSE,"Poor","Mid (11-25 yrs)",0.24565378033603,"Moderate (20-40%)",FALSE
"Steven Shaw","Lake Victormouth",31330,723,27895,22,50,FALSE,"Good","Mid (11-25 yrs)",0.890360676667731,"High (≥40%)",FALSE
"Joshua Mills","Danielburgh",97715,769,29074,23,80,TRUE,"Excellent","Mid (11-25 yrs)",0.297538760681574,"Moderate (20-40%)",FALSE
"Kurt Daniels","Mitchellchester",55042,590,47012,39,50,FALSE,"Fair","Senior (26+ yrs)",0.854111405835544,"High (≥40%)",TRUE
"Susan Garcia","Port Maryland",41221,316,41387,26,25,FALSE,"Poor","Senior (26+ yrs)",1.004027073579,"High (≥40%)",TRUE
"Paul Hanson","Lake Seanshire",61635,333,44759,18,35,FALSE,"Poor","Mid (11-25 yrs)",0.726194532327411,"High (≥40%)",TRUE
"Christy Frank","Wilsonfort",124381,427,23977,29,55,FALSE,"Poor","Senior (26+ yrs)",0.192770600011256,"Low (<20%)",FALSE
"Robert Padilla","Smithstad",83271,529,34263,18,40,FALSE,"Poor","Mid (11-25 yrs)",0.411463774903628,"High (≥40%)",FALSE
"Matthew Parker","Nuneztown",94038,724,3141,0,65,TRUE,"Good","Entry (0-10 yrs)",0.033401390927072,"Low (<20%)",FALSE
"Richard Randall","Matthewshire",102768,740,16848,35,90,TRUE,"Excellent","Senior (26+ yrs)",0.16394208313872,"Low (<20%)",FALSE
"Cheryl Newman","Port Sarahchester",129374,431,42698,24,50,FALSE,"Poor","Mid (11-25 yrs)",0.330035401239816,"Moderate (20-40%)",TRUE
"Carrie Strong","South Jerry",61499,429,34046,7,30,FALSE,"Poor","Entry (0-10 yrs)",0.553602497601587,"High (≥40%)",FALSE
"Rachel Cameron","Maryburgh",120519,630,14353,5,65,TRUE,"Fair","Entry (0-10 yrs)",0.119093255005435,"Low (<20%)",FALSE
"Jeffrey Fuller","North Christine",92402,380,38473,24,40,FALSE,"Poor","Mid (11-25 yrs)",0.416365446635354,"High (≥40%)",FALSE
"Nicholas Lucero","Jacobbury",114659,604,13702,34,70,TRUE,"Fair","Senior (26+ yrs)",0.119502176017583,"Low (<20%)",FALSE
"Molly Roman","Townsendton",123302,581,6437,9,70,TRUE,"Fair","Entry (0-10 yrs)",0.0522051548231172,"Low (<20%)",FALSE
"Margaret Riley","North Stephenville",94332,409,10295,18,50,FALSE,"Poor","Mid (11-25 yrs)",0.109135818174108,"Low (<20%)",FALSE
"Christopher Jones","Robertaborough",88743,700,7597,31,80,TRUE,"Good","Senior (26+ yrs)",0.0856067520818543,"Low (<20%)",FALSE
"Jennifer Tucker","East Gracefurt",133931,621,42520,28,65,TRUE,"Fair","Senior (26+ yrs)",0.317476909752037,"Moderate (20-40%)",TRUE
"Keith Obrien","North Theresastad",32260,795,41239,38,60,TRUE,"Excellent","Senior (26+ yrs)",1.278332300062,"High (≥40%)",TRUE
"Brooke Harmon","East Catherineside",42196,323,34947,32,25,FALSE,"Poor","Senior (26+ yrs)",0.828206465067779,"High (≥40%)",FALSE
"Cindy Diaz","North Mark",68566,525,6468,8,45,FALSE,"Poor","Entry (0-10 yrs)",0.094332467987049,"Low (<20%)",FALSE
"John Ashley","Jeanport",59045,778,49837,31,70,TRUE,"Excellent","Senior (26+ yrs)",0.844051147429926,"High (≥40%)",TRUE
"Travis Nielsen","Geraldview",83005,702,7743,37,80,TRUE,"Good","Senior (26+ yrs)",0.0932835371363171,"Low (<20%)",FALSE
"Laurie Martin","Lake Tony",120673,756,28770,38,90,TRUE,"Excellent","Senior (26+ yrs)",0.238412900980335,"Moderate (20-40%)",FALSE
"Rose Dean","Pattersonshire",61890,661,25507,40,50,FALSE,"Fair","Senior (26+ yrs)",0.412134432056875,"High (≥40%)",FALSE
"Joanna Preston","Brendaport",70135,843,24085,25,80,TRUE,"Excellent","Mid (11-25 yrs)",0.343409139516646,"Moderate (20-40%)",FALSE
"Christopher Morris","West John",117026,520,44054,23,50,FALSE,"Poor","Mid (11-25 yrs)",0.376446259805513,"Moderate (20-40%)",TRUE
"Richard Martinez","Haleymouth",106225,518,31498,36,50,FALSE,"Poor","Senior (26+ yrs)",0.296521534478701,"Moderate (20-40%)",FALSE
"Stephanie Hoffman","Campbellborough",78368,839,15251,6,85,TRUE,"Excellent","Entry (0-10 yrs)",0.194607492854226,"Low (<20%)",FALSE
"Michelle Shah","New Patriciachester",92031,745,21826,20,85,TRUE,"Excellent","Mid (11-25 yrs)",0.237159218089557,"Moderate (20-40%)",FALSE
"Anthony Snyder","West Robertville",102544,763,12215,38,90,TRUE,"Excellent","Senior (26+ yrs)",0.119119597441098,"Low (<20%)",FALSE
"James Ray","Andrewshire",99588,304,31262,18,45,FALSE,"Poor","Mid (11-25 yrs)",0.313913322890308,"Moderate (20-40%)",FALSE
"Walter Johnson","West Deannaland",75056,781,7233,26,90,TRUE,"Excellent","Senior (26+ yrs)",0.0963680451929226,"Low (<20%)",FALSE
"Denise Molina","Millermouth",85771,805,41129,3,70,TRUE,"Excellent","Entry (0-10 yrs)",0.479521050238426,"High (≥40%)",TRUE
"Michael Gibson","Port Nathanielville",127771,329,15681,3,45,FALSE,"Poor","Entry (0-10 yrs)",0.122727379452301,"Low (<20%)",FALSE
"Brenda Holder","Perezland",102140,495,48455,23,45,FALSE,"Poor","Mid (11-25 yrs)",0.474397885255532,"High (≥40%)",TRUE
"Amy Ware","North Brandonport",73357,376,18283,21,45,FALSE,"Poor","Mid (11-25 yrs)",0.249233202012078,"Moderate (20-40%)",FALSE
"Rebecca Gray","East Brandy",76112,422,9276,20,50,FALSE,"Poor","Mid (11-25 yrs)",0.121873029220097,"Low (<20%)",FALSE
"Nicole Barron","Walshville",122124,834,35576,15,90,TRUE,"Excellent","Mid (11-25 yrs)",0.291310471324228,"Moderate (20-40%)",FALSE
"Mary Bray","Kendrafort",89473,531,7016,16,55,FALSE,"Poor","Mid (11-25 yrs)",0.0784147172890146,"Low (<20%)",FALSE
"Michelle Gomez","Lake Deborah",65509,510,46545,4,25,FALSE,"Poor","Entry (0-10 yrs)",0.710513059274298,"High (≥40%)",TRUE
"Johnny Lewis","South Lori",70189,492,32958,6,30,FALSE,"Poor","Entry (0-10 yrs)",0.469560757383636,"High (≥40%)",FALSE
"Robert Gill","Kathleenport",62951,764,43945,9,65,TRUE,"Excellent","Entry (0-10 yrs)",0.698082635700783,"High (≥40%)",TRUE
"Ashley Anderson","Paulmouth",60217,825,14305,25,85,TRUE,"Excellent","Mid (11-25 yrs)",0.237557500373649,"Moderate (20-40%)",FALSE
"Donald Martin","Stephanieshire",45814,404,10652,29,35,FALSE,"Poor","Senior (26+ yrs)",0.232505347710307,"Moderate (20-40%)",FALSE
"Natasha Allen","Lopeztown",124540,787,44377,33,85,TRUE,"Excellent","Senior (26+ yrs)",0.356327284406616,"Moderate (20-40%)",TRUE
"Derek Mcintosh","West Ryanberg",55242,706,33911,27,60,TRUE,"Good","Senior (26+ yrs)",0.613862640744361,"High (≥40%)",FALSE
"Amy Nelson","North Deborahchester",71359,498,20267,12,40,FALSE,"Poor","Mid (11-25 yrs)",0.284014630249863,"Moderate (20-40%)",FALSE
"Kirk Moreno","Stoneville",45670,351,43358,15,25,FALSE,"Poor","Mid (11-25 yrs)",0.949375957959273,"High (≥40%)",TRUE
"Colleen Brown","New Josephland",127370,844,7621,17,100,TRUE,"Excellent","Mid (11-25 yrs)",0.0598335557823663,"Low (<20%)",FALSE
"Manuel Baldwin","Longbury",100236,574,33451,13,50,FALSE,"Poor","Mid (11-25 yrs)",0.333722415100363,"Moderate (20-40%)",FALSE
"Dalton Walsh","Jessicaville",129901,489,33980,39,50,FALSE,"Poor","Senior (26+ yrs)",0.261583821525623,"Moderate (20-40%)",FALSE
"Eric Knox","East Leslie",120461,371,11921,11,60,TRUE,"Poor","Mid (11-25 yrs)",0.0989614896107454,"Low (<20%)",FALSE
"Jesse Rivers","Pattersontown",54267,481,18290,4,30,FALSE,"Poor","Entry (0-10 yrs)",0.337037241785984,"Moderate (20-40%)",FALSE
"Philip Smith","Tarashire",55105,301,33001,15,35,FALSE,"Poor","Mid (11-25 yrs)",0.598874875238182,"High (≥40%)",FALSE
"Andrew Smith","Maryhaven",58361,815,11964,9,80,TRUE,"Excellent","Entry (0-10 yrs)",0.204999914326348,"Moderate (20-40%)",FALSE
"Ariel Lara","Shaunstad",126810,563,44477,31,50,FALSE,"Poor","Senior (26+ yrs)",0.350737323554925,"Moderate (20-40%)",TRUE
"Jimmy Carey","Jenniferhaven",93464,795,8389,17,90,TRUE,"Excellent","Mid (11-25 yrs)",0.0897564837798511,"Low (<20%)",FALSE
"Monica Smith","Chaseberg",66241,665,33625,1,35,FALSE,"Fair","Entry (0-10 yrs)",0.50761612898356,"High (≥40%)",FALSE
"Patrick Mcpherson","Jamieland",124972,498,25758,40,55,FALSE,"Poor","Senior (26+ yrs)",0.206110168677784,"Moderate (20-40%)",FALSE
"Donald Sims","Archerhaven",107278,479,18387,22,55,FALSE,"Poor","Mid (11-25 yrs)",0.171395812748187,"Low (<20%)",FALSE
"Jeanne Butler","Kyleton",129641,832,46995,21,90,TRUE,"Excellent","Mid (11-25 yrs)",0.362501060621254,"Moderate (20-40%)",TRUE
"Barbara Pope","Keithtown",98765,810,45926,9,75,TRUE,"Excellent","Entry (0-10 yrs)",0.465002784387182,"High (≥40%)",TRUE
"Chris Levy","West Tommy",108222,366,20315,0,40,FALSE,"Poor","Entry (0-10 yrs)",0.187715991203267,"Low (<20%)",FALSE
"Daniel Petersen","North Tracytown",67093,740,24085,0,60,TRUE,"Excellent","Entry (0-10 yrs)",0.35897932720254,"Moderate (20-40%)",FALSE
"Chad Koch","North Jennifer",43176,446,49041,12,25,FALSE,"Poor","Mid (11-25 yrs)",1.13583935519733,"High (≥40%)",TRUE
"Thomas Carter","South Sarahbury",139134,695,28693,25,80,TRUE,"Good","Mid (11-25 yrs)",0.206225652967643,"Moderate (20-40%)",FALSE
"Annette Green","Carlaburgh",55443,746,45493,20,70,TRUE,"Excellent","Mid (11-25 yrs)",0.820536406760096,"High (≥40%)",TRUE
"Brenda Saunders","Derekside",68829,504,20730,19,40,FALSE,"Poor","Mid (11-25 yrs)",0.301181188161967,"Moderate (20-40%)",FALSE
"Keith Fuller","South Kimberly",59816,747,7294,8,75,TRUE,"Excellent","Entry (0-10 yrs)",0.121940617894878,"Low (<20%)",FALSE
"Melissa Gordon","Taylorchester",77301,777,28558,26,80,TRUE,"Excellent","Senior (26+ yrs)",0.369438946456061,"Moderate (20-40%)",FALSE
"Thomas Johnson","Davisberg",53519,609,16902,37,55,FALSE,"Fair","Senior (26+ yrs)",0.315813075730115,"Moderate (20-40%)",FALSE
"Bethany Daniels","Brianfurt",69618,428,27407,0,25,FALSE,"Poor","Entry (0-10 yrs)",0.393676922634951,"Moderate (20-40%)",FALSE
"Phillip Holmes","North Brianville",31854,641,39950,6,35,FALSE,"Fair","Entry (0-10 yrs)",1.25415960318955,"High (≥40%)",FALSE
"Krystal Vaughn","North Joyhaven",122801,354,46978,13,50,FALSE,"Poor","Mid (11-25 yrs)",0.382553887997655,"Moderate (20-40%)",TRUE
"Kristina Coffey","East Patty",100010,458,20719,40,55,FALSE,"Poor","Senior (26+ yrs)",0.207169283071693,"Moderate (20-40%)",FALSE
"William Smith","Hansonborough",46591,417,5400,0,20,FALSE,"Poor","Entry (0-10 yrs)",0.115902212873731,"Low (<20%)",FALSE
"Spencer Meyer","East Dale",65954,325,34148,28,35,FALSE,"Poor","Senior (26+ yrs)",0.517754798799163,"High (≥40%)",FALSE
"Timothy Evans","Mcgrathbury",35965,566,41157,28,25,FALSE,"Poor","Senior (26+ yrs)",1.14436257472543,"High (≥40%)",TRUE
"Lisa Reynolds","East Donaldbury",37146,474,34522,34,25,FALSE,"Poor","Senior (26+ yrs)",0.929359823399558,"High (≥40%)",FALSE
"John Roberts","New Trevorview",102529,700,26285,6,70,TRUE,"Good","Entry (0-10 yrs)",0.256366491431692,"Moderate (20-40%)",FALSE
"Robert Hernandez","Stephenshire",68290,698,1722,37,75,TRUE,"Good","Senior (26+ yrs)",0.0252159906282033,"Low (<20%)",FALSE
"Matthew Barry","Williamsstad",121411,442,31664,29,50,FALSE,"Poor","Senior (26+ yrs)",0.260800092248643,"Moderate (20-40%)",FALSE
"William Howard","West Rachel",46551,837,26599,32,65,TRUE,"Excellent","Senior (26+ yrs)",0.571394814289704,"High (≥40%)",FALSE
"Matthew Bell","Stephenberg",113606,585,44151,19,65,TRUE,"Fair","Mid (11-25 yrs)",0.388632642642114,"Moderate (20-40%)",TRUE
"Andrea Franco","Bennettfort",143830,484,38751,32,50,FALSE,"Poor","Senior (26+ yrs)",0.269422234582493,"Moderate (20-40%)",FALSE
"Kelly Anderson","Briannashire",128669,656,39305,39,65,TRUE,"Fair","Senior (26+ yrs)",0.305473734932268,"Moderate (20-40%)",FALSE
"Andrea Johnson","East Colin",94340,408,33730,30,45,FALSE,"Poor","Senior (26+ yrs)",0.357536569853721,"Moderate (20-40%)",FALSE
"David Ingram","North Rachel",43446,478,48720,24,25,FALSE,"Poor","Mid (11-25 yrs)",1.12139207291811,"High (≥40%)",TRUE
"Jennifer Brown","Dannyland",144389,752,25531,38,90,TRUE,"Excellent","Senior (26+ yrs)",0.176820948964256,"Low (<20%)",FALSE
"Alyssa Thompson","Lake Shannonberg",31607,504,13826,16,25,FALSE,"Poor","Mid (11-25 yrs)",0.437434745467776,"High (≥40%)",FALSE
"Michael Perez DDS","Cervantesborough",105243,388,39149,1,35,FALSE,"Poor","Entry (0-10 yrs)",0.371986735459841,"Moderate (20-40%)",FALSE
"Mary Harris","North Michael",67268,717,38243,34,60,TRUE,"Good","Senior (26+ yrs)",0.568516976868645,"High (≥40%)",FALSE
"Gina Fleming","Leeborough",91524,785,33823,22,80,TRUE,"Excellent","Mid (11-25 yrs)",0.369553341200122,"Moderate (20-40%)",FALSE
"Steven Castaneda","South Ronaldfurt",92746,372,38299,5,35,FALSE,"Poor","Entry (0-10 yrs)",0.412945032669873,"High (≥40%)",FALSE
"Joseph Garcia","Hallside",87733,638,2477,14,70,TRUE,"Fair","Mid (11-25 yrs)",0.0282333899444907,"Low (<20%)",FALSE
"Donna Clayton","Warnerland",74657,461,19878,4,30,FALSE,"Poor","Entry (0-10 yrs)",0.266257685146738,"Moderate (20-40%)",FALSE
"Dana Holmes","Reginaldton",54164,413,39192,30,35,FALSE,"Poor","Senior (26+ yrs)",0.723580237796322,"High (≥40%)",FALSE
"Victoria Delgado","West Robertborough",36734,642,4892,8,45,FALSE,"Fair","Entry (0-10 yrs)",0.133173626612947,"Low (<20%)",FALSE
"Robert Rivera","East Trevorshire",63092,336,23665,4,30,FALSE,"Poor","Entry (0-10 yrs)",0.375087174285171,"Moderate (20-40%)",FALSE
"Linda Salazar","New Timothyberg",142947,577,48404,2,40,FALSE,"Poor","Entry (0-10 yrs)",0.338615011157982,"Moderate (20-40%)",TRUE
"Jonathan Perez","Ryanport",92616,533,2405,3,45,FALSE,"Poor","Entry (0-10 yrs)",0.0259674354323227,"Low (<20%)",FALSE
"Richard Gonzalez","Flemingtown",44953,793,4417,24,75,TRUE,"Excellent","Mid (11-25 yrs)",0.0982581807665784,"Low (<20%)",FALSE
"Melissa Jordan","Dunnville",137756,748,8732,39,95,TRUE,"Excellent","Senior (26+ yrs)",0.0633874386596591,"Low (<20%)",FALSE
"Mrs. Cheryl Kim","East Jesseshire",38564,310,15884,26,25,FALSE,"Poor","Senior (26+ yrs)",0.411886733741313,"High (≥40%)",FALSE
"Stacy Mcguire","Port Alexisbury",82521,358,6020,3,45,FALSE,"Poor","Entry (0-10 yrs)",0.0729511275917645,"Low (<20%)",FALSE
"Christopher Williams","Carriebury",94454,599,9501,38,65,TRUE,"Fair","Senior (26+ yrs)",0.100588646325195,"Low (<20%)",FALSE
"Matthew Douglas","West Shawnaborough",39710,806,47219,22,65,TRUE,"Excellent","Mid (11-25 yrs)",1.18909594560564,"High (≥40%)",TRUE
"Shannon Wallace","Shellyside",105631,599,43837,15,60,TRUE,"Fair","Mid (11-25 yrs)",0.415001278033911,"High (≥40%)",TRUE
"Debra Wolfe","North Michaelchester",112502,797,19335,5,85,TRUE,"Excellent","Entry (0-10 yrs)",0.171863611313577,"Low (<20%)",FALSE
"Chad Daugherty","West Judy",119974,515,9044,23,60,TRUE,"Poor","Mid (11-25 yrs)",0.0753829996499241,"Low (<20%)",FALSE
"Rachel Johnson","Lake Scott",37026,764,8486,1,55,FALSE,"Excellent","Entry (0-10 yrs)",0.229190298709015,"Moderate (20-40%)",FALSE
"Mr. Donald Cruz PhD","North Joshuafurt",49887,807,2235,24,80,TRUE,"Excellent","Mid (11-25 yrs)",0.0448012508268687,"Low (<20%)",FALSE
"Andrew Harris","Lake Ryan",49555,353,44280,19,25,FALSE,"Poor","Mid (11-25 yrs)",0.893552618302896,"High (≥40%)",TRUE
"Phillip Pineda","Sandraview",136318,521,2792,21,60,TRUE,"Poor","Mid (11-25 yrs)",0.0204815211490779,"Low (<20%)",FALSE
"Lisa Glenn","Port Danielfurt",103772,594,36046,29,65,TRUE,"Fair","Senior (26+ yrs)",0.347357668735304,"Moderate (20-40%)",FALSE
"Nathan Mack","Franciscofurt",69824,778,49865,15,70,TRUE,"Excellent","Mid (11-25 yrs)",0.714152726856095,"High (≥40%)",TRUE
"Adrian Marsh","Christopherbury",41164,602,23120,36,40,FALSE,"Fair","Senior (26+ yrs)",0.561655815761345,"High (≥40%)",FALSE
"Luis Ward","Kimberlytown",62530,427,21112,36,40,FALSE,"Poor","Senior (26+ yrs)",0.337629937629938,"Moderate (20-40%)",FALSE
"Sara Abbott","Fordmouth",45525,309,31568,2,15,FALSE,"Poor","Entry (0-10 yrs)",0.693421197144426,"High (≥40%)",FALSE
"Karen Richard","South Brian",103147,381,19117,39,55,FALSE,"Poor","Senior (26+ yrs)",0.185337431045013,"Low (<20%)",FALSE
"Tiffany Alexander","Katieview",130197,565,33435,8,45,FALSE,"Poor","Entry (0-10 yrs)",0.256803152146363,"Moderate (20-40%)",FALSE
"Christopher Pitts","East Dannyton",84548,488,45855,32,40,FALSE,"Poor","Senior (26+ yrs)",0.542354638785069,"High (≥40%)",TRUE
"Lauren Williams","North Stephanie",109471,565,17871,1,40,FALSE,"Poor","Entry (0-10 yrs)",0.16324871427136,"Low (<20%)",FALSE
"Shannon Gomez","New Jimmyville",108135,379,34222,28,50,FALSE,"Poor","Senior (26+ yrs)",0.316474776899246,"Moderate (20-40%)",FALSE
"Billy Harris","Mariachester",133643,373,43066,27,50,FALSE,"Poor","Senior (26+ yrs)",0.322246582312579,"Moderate (20-40%)",TRUE
"Briana Nguyen","Matthewchester",111057,683,31846,18,75,TRUE,"Good","Mid (11-25 yrs)",0.286753649027076,"Moderate (20-40%)",FALSE
"Caitlin Williams","New Anthony",59581,516,21519,32,40,FALSE,"Poor","Senior (26+ yrs)",0.361172185763918,"Moderate (20-40%)",FALSE
"Natalie Logan","Shelbyfurt",131671,333,44061,9,45,FALSE,"Poor","Entry (0-10 yrs)",0.334629493206553,"Moderate (20-40%)",TRUE
"Zachary Miller","East Arianashire",98494,728,36321,7,65,TRUE,"Good","Entry (0-10 yrs)",0.368763579507381,"Moderate (20-40%)",FALSE
"Kelsey Williams","Hopkinshaven",79856,751,21770,17,80,TRUE,"Excellent","Mid (11-25 yrs)",0.272615708274895,"Moderate (20-40%)",FALSE
"Kenneth Bartlett","Johnstad",89049,536,30872,20,45,FALSE,"Poor","Mid (11-25 yrs)",0.346685532684253,"Moderate (20-40%)",FALSE
"Shirley Cox","Annland",149079,670,43816,30,75,TRUE,"Good","Senior (26+ yrs)",0.293911281937765,"Moderate (20-40%)",TRUE
"Joann Barnes","New John",88028,717,45178,37,65,TRUE,"Good","Senior (26+ yrs)",0.513223065388286,"High (≥40%)",TRUE
"Lisa Flynn","Leeland",68974,718,28592,32,60,TRUE,"Good","Senior (26+ yrs)",0.41453301243947,"High (≥40%)",FALSE
"Ms. Mackenzie Barton","South Alexis",142743,423,28435,16,55,FALSE,"Poor","Mid (11-25 yrs)",0.199204164127138,"Low (<20%)",FALSE
"Michelle Harrison","East Mollychester",107139,324,46222,10,45,FALSE,"Poor","Entry (0-10 yrs)",0.431420864484455,"High (≥40%)",TRUE
"Brandi Camacho DVM","Gomezfurt",86207,547,47660,18,40,FALSE,"Poor","Mid (11-25 yrs)",0.552855336573596,"High (≥40%)",TRUE
"Steven Villanueva","Lake Brandonstad",70026,759,27796,40,75,TRUE,"Excellent","Senior (26+ yrs)",0.396938280067404,"Moderate (20-40%)",FALSE
"Ruben Roberts","Gravesburgh",104531,821,6491,9,95,TRUE,"Excellent","Entry (0-10 yrs)",0.0620964115908199,"Low (<20%)",FALSE
"Linda Wood","Graymouth",111399,480,34336,37,50,FALSE,"Poor","Senior (26+ yrs)",0.308225388019641,"Moderate (20-40%)",FALSE
"Raymond Hall","Petersonshire",37894,830,35419,37,65,TRUE,"Excellent","Senior (26+ yrs)",0.934686230010028,"High (≥40%)",FALSE
"Tanya Mitchell","Floresburgh",109905,446,3748,13,60,TRUE,"Poor","Mid (11-25 yrs)",0.0341021791547245,"Low (<20%)",FALSE
"Donald Hobbs","Coryport",127004,469,8769,18,60,TRUE,"Poor","Mid (11-25 yrs)",0.0690450694466316,"Low (<20%)",FALSE
"Jeffrey Mcclure","Sheilaview",43006,408,16183,17,30,FALSE,"Poor","Mid (11-25 yrs)",0.376296330744547,"Moderate (20-40%)",FALSE
"Daniel Roberson","North Carmen",129973,340,36378,34,50,FALSE,"Poor","Senior (26+ yrs)",0.279888900002308,"Moderate (20-40%)",FALSE
"Adriana Wall","West Jamesshire",57235,736,48978,28,60,TRUE,"Good","Senior (26+ yrs)",0.855735127107539,"High (≥40%)",TRUE
"Sandra Phillips","Lake Jasmineville",111987,755,29328,31,85,TRUE,"Excellent","Senior (26+ yrs)",0.261887540518096,"Moderate (20-40%)",FALSE
"Sean Kaiser","West Lindabury",57659,376,22437,10,40,FALSE,"Poor","Entry (0-10 yrs)",0.389132659255277,"Moderate (20-40%)",FALSE
"Desiree Mccoy","Lake Haileyton",64687,743,7582,33,80,TRUE,"Excellent","Senior (26+ yrs)",0.117210567811152,"Low (<20%)",FALSE
"Ryan Guerrero","Lake Courtneybury",116563,440,39426,24,50,FALSE,"Poor","Mid (11-25 yrs)",0.338237691205614,"Moderate (20-40%)",FALSE
"Connie Gonzalez","Hernandezburgh",40641,808,19520,8,60,TRUE,"Excellent","Entry (0-10 yrs)",0.480303142147093,"High (≥40%)",FALSE
"Shawn Tapia","North Ryan",50585,802,37551,39,75,TRUE,"Excellent","Senior (26+ yrs)",0.742334684194919,"High (≥40%)",FALSE
"Christopher Barnes","Christinashire",61439,540,42793,22,35,FALSE,"Poor","Mid (11-25 yrs)",0.696511987499797,"High (≥40%)",TRUE
"Mr. Christopher Evans","West Elizabeth",52782,801,42289,25,75,TRUE,"Excellent","Mid (11-25 yrs)",0.80120116706453,"High (≥40%)",TRUE
"Kimberly Phillips","North Sydney",102350,594,28498,28,65,TRUE,"Fair","Senior (26+ yrs)",0.278436736687836,"Moderate (20-40%)",FALSE
"Matthew Wilson","Huberville",39838,655,46676,25,40,FALSE,"Fair","Mid (11-25 yrs)",1.17164516290978,"High (≥40%)",TRUE
"Patricia Webb","Burkebury",50517,329,20066,17,40,FALSE,"Poor","Mid (11-25 yrs)",0.397212819446919,"Moderate (20-40%)",FALSE
"Stacy Patton","New Kelseyview",30350,625,27950,25,40,FALSE,"Fair","Mid (11-25 yrs)",0.920922570016474,"High (≥40%)",FALSE
"Jessica Green","West Toddbury",83545,647,42698,2,45,FALSE,"Fair","Entry (0-10 yrs)",0.511077862229936,"High (≥40%)",TRUE
"Jason Armstrong","New Jamie",89048,412,41193,39,40,FALSE,"Poor","Senior (26+ yrs)",0.462593208157398,"High (≥40%)",TRUE
"Larry Smith","Port Nicholasmouth",120357,661,37234,4,55,FALSE,"Fair","Entry (0-10 yrs)",0.309362978472378,"Moderate (20-40%)",FALSE
"Kelly Cox","East Mary",107832,705,48043,14,70,TRUE,"Good","Mid (11-25 yrs)",0.445535648045107,"High (≥40%)",TRUE
"Christopher Brooks","Lewisbury",91592,313,3364,1,40,FALSE,"Poor","Entry (0-10 yrs)",0.0367280985238886,"Low (<20%)",FALSE
"Kelsey Mason","Williamsport",68175,608,2588,14,65,TRUE,"Fair","Mid (11-25 yrs)",0.037961129446278,"Low (<20%)",FALSE
"Melissa Johnson","Port Kristenfurt",34278,434,49531,17,25,FALSE,"Poor","Mid (11-25 yrs)",1.44497928700624,"High (≥40%)",TRUE
"Angela Wagner","Smithside",60340,455,7262,37,45,FALSE,"Poor","Senior (26+ yrs)",0.120351342393106,"Low (<20%)",FALSE
"Cheyenne Obrien","Kristenchester",67762,824,49724,1,60,TRUE,"Excellent","Entry (0-10 yrs)",0.733803606741241,"High (≥40%)",TRUE
"Jimmy Garcia","Bennettchester",122662,395,15565,26,55,FALSE,"Poor","Senior (26+ yrs)",0.126893414423375,"Low (<20%)",FALSE
